CrimeDescription,CaseStatusDescription,Total
DOCUMENT WORTHLESS ($200 & UNDER),Invest Cont,5
DOCUMENT WORTHLESS ($200.01 & OVER),Adult Other,3
DOCUMENT WORTHLESS ($200.01 & OVER),Invest Cont,26
DRIVING WITHOUT OWNER CONSENT (DWOC),Adult Arrest,13
DRIVING WITHOUT OWNER CONSENT (DWOC),Adult Other,16
DRIVING WITHOUT OWNER CONSENT (DWOC),Invest Cont,11
DRIVING WITHOUT OWNER CONSENT (DWOC),Juv Other,1
"DRUGS, TO A MINOR",Adult Arrest,1
"DRUGS, TO A MINOR",Adult Other,2
"DRUGS, TO A MINOR",Invest Cont,1
DRUNK ROLL,Invest Cont,13
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Adult Arrest,46
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Adult Other,158
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Invest Cont,354
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Adult Arrest,7
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Adult Other,9
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Invest Cont,26
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Juv Other,1
EXTORTION,Adult Arrest,13
EXTORTION,Adult Other,32
EXTORTION,Invest Cont,593
EXTORTION,Juv Other,1
FAILURE TO YIELD,Adult Arrest,147
FAILURE TO YIELD,Adult Other,12
FAILURE TO YIELD,Invest Cont,272
FAILURE TO YIELD,Juv Arrest,10
FALSE IMPRISONMENT,Adult Arrest,25
FALSE IMPRISONMENT,Adult Other,29
FALSE IMPRISONMENT,Invest Cont,51
FALSE POLICE REPORT,Adult Arrest,5
FALSE POLICE REPORT,Adult Other,6
FALSE POLICE REPORT,Invest Cont,39
FALSE POLICE REPORT,Juv Arrest,1
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),Adult Arrest,2
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),Invest Cont,3
GRAND THEFT / INSURANCE FRAUD,Adult Arrest,1
GRAND THEFT / INSURANCE FRAUD,Adult Other,1
GRAND THEFT / INSURANCE FRAUD,Invest Cont,1
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Adult Arrest,23
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Adult Other,7
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Invest Cont,129
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Juv Arrest,1
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Adult Arrest,6
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Adult Other,3
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Invest Cont,36
ILLEGAL DUMPING,Adult Arrest,1
ILLEGAL DUMPING,Adult Other,3
ILLEGAL DUMPING,Invest Cont,32
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Adult Arrest,1
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Invest Cont,2
INCITING A RIOT,Invest Cont,2
INDECENT EXPOSURE,Adult Arrest,39
INDECENT EXPOSURE,Adult Other,40
INDECENT EXPOSURE,Invest Cont,250
INDECENT EXPOSURE,Juv Arrest,1
INDECENT EXPOSURE,Juv Other,1
INTIMATE PARTNER - AGGRAVATED ASSAULT,Adult Arrest,1211
INTIMATE PARTNER - AGGRAVATED ASSAULT,Adult Other,1552
INTIMATE PARTNER - AGGRAVATED ASSAULT,Invest Cont,890
INTIMATE PARTNER - AGGRAVATED ASSAULT,Juv Arrest,12
INTIMATE PARTNER - AGGRAVATED ASSAULT,Juv Other,1
INTIMATE PARTNER - SIMPLE ASSAULT,Adult Arrest,2855
INTIMATE PARTNER - SIMPLE ASSAULT,Adult Other,5724
INTIMATE PARTNER - SIMPLE ASSAULT,Invest Cont,5118
INTIMATE PARTNER - SIMPLE ASSAULT,Juv Arrest,20
INTIMATE PARTNER - SIMPLE ASSAULT,Juv Other,15
KIDNAPPING,Adult Arrest,59
KIDNAPPING,Adult Other,40
KIDNAPPING,Invest Cont,122
KIDNAPPING,Juv Arrest,1
KIDNAPPING - GRAND ATTEMPT,Adult Arrest,14
KIDNAPPING - GRAND ATTEMPT,Adult Other,10
KIDNAPPING - GRAND ATTEMPT,Invest Cont,35
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Adult Arrest,136
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Adult Other,573
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Invest Cont,1769
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Juv Arrest,1
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Juv Other,8
LEWD CONDUCT,Adult Arrest,26
LEWD CONDUCT,Adult Other,18
LEWD CONDUCT,Invest Cont,164
LEWD CONDUCT,Juv Other,1
LEWD/LASCIVIOUS ACTS WITH CHILD,Adult Arrest,13
LEWD/LASCIVIOUS ACTS WITH CHILD,Adult Other,8
LEWD/LASCIVIOUS ACTS WITH CHILD,Invest Cont,14
LEWD/LASCIVIOUS ACTS WITH CHILD,Juv Arrest,2
LYNCHING,Adult Arrest,1
LYNCHING,Invest Cont,2
LYNCHING - ATTEMPTED,Adult Arrest,1
LYNCHING - ATTEMPTED,Adult Other,1
LYNCHING - ATTEMPTED,Invest Cont,3
LYNCHING - ATTEMPTED,Juv Arrest,1
"MANSLAUGHTER, NEGLIGENT",Adult Arrest,2
ORAL COPULATION,Adult Arrest,24
ORAL COPULATION,Adult Other,65
ORAL COPULATION,Invest Cont,153
ORAL COPULATION,Juv Arrest,5
ORAL COPULATION,Juv Other,5
OTHER ASSAULT,Adult Arrest,52
OTHER ASSAULT,Adult Other,294
OTHER ASSAULT,Invest Cont,856
OTHER ASSAULT,Juv Other,4
OTHER MISCELLANEOUS CRIME,Adult Arrest,229
OTHER MISCELLANEOUS CRIME,Adult Other,271
OTHER MISCELLANEOUS CRIME,Invest Cont,1492
OTHER MISCELLANEOUS CRIME,Juv Arrest,8
OTHER MISCELLANEOUS CRIME,Juv Other,11
PANDERING,Adult Arrest,21
PANDERING,Adult Other,1
PANDERING,Invest Cont,11
PEEPING TOM,Adult Arrest,11
PEEPING TOM,Adult Other,20
PEEPING TOM,Invest Cont,96
PETTY THEFT - AUTO REPAIR,Invest Cont,4
PICKPOCKET,Adult Arrest,1
PICKPOCKET,Adult Other,2
PICKPOCKET,Invest Cont,873
"PICKPOCKET, ATTEMPT",Invest Cont,3
PIMPING,Adult Arrest,13
PIMPING,Adult Other,2
PIMPING,Invest Cont,19
PROWLER,Adult Arrest,3
PROWLER,Adult Other,2
PROWLER,Invest Cont,64
PURSE SNATCHING,Adult Arrest,1
PURSE SNATCHING,Invest Cont,25
PURSE SNATCHING,Juv Other,1
PURSE SNATCHING - ATTEMPT,Invest Cont,4
"RAPE, ATTEMPTED",Adult Arrest,29
"RAPE, ATTEMPTED",Adult Other,22
"RAPE, ATTEMPTED",Invest Cont,49
"RAPE, ATTEMPTED",Juv Arrest,1
"RAPE, FORCIBLE",Adult Arrest,95
"RAPE, FORCIBLE",Adult Other,310
"RAPE, FORCIBLE",Invest Cont,782
"RAPE, FORCIBLE",Juv Arrest,25
"RAPE, FORCIBLE",Juv Other,1
RECKLESS DRIVING,Adult Arrest,18
RECKLESS DRIVING,Adult Other,4
RECKLESS DRIVING,Invest Cont,54
RECKLESS DRIVING,Juv Other,2
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Adult Arrest,1
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Adult Other,1
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Invest Cont,1
RESISTING ARREST,Adult Arrest,115
RESISTING ARREST,Adult Other,30
RESISTING ARREST,Invest Cont,126
RESISTING ARREST,Juv Arrest,6
ROBBERY,Adult Arrest,1601
ROBBERY,Adult Other,727
ROBBERY,Invest Cont,6513
ROBBERY,Juv Arrest,146
ROBBERY,Juv Other,16
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,Adult Arrest,142
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,Adult Other,35
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,Invest Cont,165
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Adult Arrest,28
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Adult Other,81
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Invest Cont,267
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Juv Arrest,18
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Juv Other,25
SEXUAL PENETRATION W/FOREIGN OBJECT,Adult Arrest,41
SEXUAL PENETRATION W/FOREIGN OBJECT,Adult Other,82
SEXUAL PENETRATION W/FOREIGN OBJECT,Invest Cont,313
SEXUAL PENETRATION W/FOREIGN OBJECT,Juv Arrest,10
SEXUAL PENETRATION W/FOREIGN OBJECT,Juv Other,3
SHOPLIFTING - ATTEMPT,Adult Arrest,2
SHOPLIFTING - ATTEMPT,Adult Other,2
SHOPLIFTING - ATTEMPT,Invest Cont,26
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Adult Arrest,585
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Adult Other,205
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Invest Cont,5585
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Juv Arrest,20
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Juv Other,23
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Adult Arrest,148
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Adult Other,31
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Invest Cont,1198
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Juv Arrest,12
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Juv Other,3
SHOTS FIRED AT INHABITED DWELLING,Adult Arrest,32
SHOTS FIRED AT INHABITED DWELLING,Adult Other,17
SHOTS FIRED AT INHABITED DWELLING,Invest Cont,427
SHOTS FIRED AT INHABITED DWELLING,Juv Arrest,1
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Adult Arrest,18
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Adult Other,2
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Invest Cont,136
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Juv Arrest,1
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Adult Arrest,11
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Adult Other,30
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Invest Cont,113
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Juv Arrest,5
STALKING,Adult Arrest,82
STALKING,Adult Other,47
STALKING,Invest Cont,79
TELEPHONE PROPERTY - DAMAGE,Adult Other,1
TELEPHONE PROPERTY - DAMAGE,Invest Cont,2
THEFT FROM MOTOR VEHICLE - ATTEMPT,Adult Arrest,15
THEFT FROM MOTOR VEHICLE - ATTEMPT,Adult Other,8
THEFT FROM MOTOR VEHICLE - ATTEMPT,Invest Cont,236
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Adult Arrest,94
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Adult Other,78
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Invest Cont,9469
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Juv Arrest,3
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Adult Arrest,62
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Adult Other,56
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Invest Cont,4613
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Juv Other,1
THEFT FROM PERSON - ATTEMPT,Adult Other,4
THEFT FROM PERSON - ATTEMPT,Invest Cont,31
THEFT OF IDENTITY,Adult Arrest,252
THEFT OF IDENTITY,Adult Other,54
THEFT OF IDENTITY,Invest Cont,26341
THEFT PLAIN - ATTEMPT,Adult Arrest,5
THEFT PLAIN - ATTEMPT,Adult Other,4
THEFT PLAIN - ATTEMPT,Invest Cont,120
THEFT PLAIN - PETTY ($950 & UNDER),Adult Arrest,271
THEFT PLAIN - PETTY ($950 & UNDER),Adult Other,509
THEFT PLAIN - PETTY ($950 & UNDER),Invest Cont,13158
THEFT PLAIN - PETTY ($950 & UNDER),Juv Arrest,8
THEFT PLAIN - PETTY ($950 & UNDER),Juv Other,7
"THEFT, COIN MACHINE - ATTEMPT",Invest Cont,2
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Invest Cont,4
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Invest Cont,7
"THEFT, PERSON",Adult Arrest,60
"THEFT, PERSON",Adult Other,120
"THEFT, PERSON",Invest Cont,1010
"THEFT, PERSON",Juv Arrest,13
"THEFT, PERSON",Juv Other,2
"THEFT, PERSON",UNK,1
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Adult Arrest,275
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Adult Other,344
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Invest Cont,8332
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Juv Arrest,9
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Juv Other,8
THREATENING PHONE CALLS/LETTERS,Adult Arrest,10
THREATENING PHONE CALLS/LETTERS,Adult Other,38
THREATENING PHONE CALLS/LETTERS,Invest Cont,83
THREATENING PHONE CALLS/LETTERS,Juv Arrest,2
THROWING OBJECT AT MOVING VEHICLE,Adult Arrest,50
THROWING OBJECT AT MOVING VEHICLE,Adult Other,22
THROWING OBJECT AT MOVING VEHICLE,Invest Cont,143
TILL TAP - GRAND THEFT ($950.01 & OVER),Adult Arrest,1
TILL TAP - GRAND THEFT ($950.01 & OVER),Invest Cont,3
TILL TAP - PETTY ($950 & UNDER),Invest Cont,7
